 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Median
975,1435.057,255,255,255,1533.742,1280.955,161.877,1515.538,1251.711,38.108,55.697,52.201,35.002,67.621,255
976,637.612,255,255,255,469.888,1266.932,97.053,455.541,1252.884,29.314,27.555,29.164,27.837,169.831,255
977,394.941,255,255,255,1788.537,1263.543,85.185,1774.674,1253.470,27.555,21.106,30.208,16.647,163.181,255
978,1013.305,255,255,255,771.968,1275.935,125.042,751.027,1255.815,39.281,38.695,36.436,35.410,132.444,255
979,478.467,255,255,255,676.180,1270.075,87.412,661.912,1256.988,28.728,25.210,26.801,22.730,155.455,255
980,1174.512,255,255,255,333.067,1279.024,161.190,310.143,1257.574,46.316,41.040,48.579,30.783,156.387,255
981,1131.546,255,255,255,1052.284,1284.372,147.865,1030.097,1259.333,39.867,45.144,41.195,34.973,41.223,255
982,973.432,255,255,255,1341.071,1277.510,127.789,1322.651,1259.919,41.626,36.349,37.797,32.792,173.988,255
983,806.381,255,255,255,1858.009,1276.142,116.039,1839.165,1261.092,37.522,30.487,35.429,28.979,158.753,255
984,1309.940,255,255,255,290.031,1285.119,144.004,266.172,1263.437,45.144,40.453,42.864,38.911,7.911,255
985,949.715,255,255,255,517.832,1282.144,124.473,500.684,1263.437,32.832,38.695,38.007,31.816,98.989,255
986,1078.956,255,255,255,1276.428,1284.591,130.963,1259.333,1265.196,34.591,43.385,40.347,34.049,82.064,255
987,1001.618,255,255,255,1933.473,1282.776,130.963,1911.864,1265.782,42.212,35.763,40.147,31.766,150.617,255
988,1851.653,255,255,255,707.065,1303.458,195.243,683.018,1267.541,42.212,70.354,66.003,35.720,85.747,255
989,600.490,255,255,255,1503.174,1286.148,97.538,1487.396,1269.886,26.383,31.073,30.439,25.118,95.317,255
990,1449.493,255,255,255,1690.441,1291.208,160.135,1666.212,1269.886,51.006,38.695,52.444,35.191,156.133,255
991,657.548,255,255,255,441.427,1283.185,104.976,423.882,1270.472,34.004,25.796,35.842,23.359,162.494,255
992,572.648,255,255,255,638.620,1286.576,92.019,625.562,1272.231,26.969,28.142,28.130,25.920,122.620,255
993,1230.196,255,255,255,976.030,1295.672,147.664,953.880,1272.817,39.867,45.144,43.415,36.078,60.840,255
994,1328.845,255,255,255,225.508,1298.969,146.148,205.199,1275.749,43.385,43.385,45.536,37.156,49.523,255
995,786.445,255,255,255,380.209,1293.470,114.925,364.667,1276.921,29.900,34.591,34.936,28.662,91.238,255
996,851.753,255,255,255,592.908,1294.913,120.091,573.970,1276.921,41.040,35.177,34.749,31.209,12.841,255
997,1022.241,255,255,255,1619.964,1305.095,131.425,1599.376,1285.716,41.626,35.177,38.283,33.999,171.292,255
